"Tour Revenue Summary","Tur Gelir Özeti",""
"Tour","Tur",""
"Row Type","Satır Türü",""
"Status","Durum",""
"Count","Sayı",""
"Currency","Para Birimi",""
"Revenue","Gelir",""
"Revenue (UMRECI)","Gelir (UMRECI)",""
"Paid Amount","Tahsil Edilen",""
"Remaining Receivable","Kalan Alacak",""
"Hotel Cost","Otel Maliyeti",""
"Flight Cost","Uçak Maliyeti",""
"Visa Cost","Vize Maliyeti",""
"Diyanet Cost","Diyanet Maliyeti",""
"Manual Cost","Manuel Maliyet",""
"Total Cost","Toplam Maliyet",""
"Expected Cost","Beklenen Maliyet",""
"Discrepancy","Sapma",""
"Profit","Kar",""
"Booked Revenue","Toplam Satış",""
"Paid","Ödenmiş",""
"Remaining","Kalan",""
"Raw Toplam Maliyet","Ham Toplam Maliyet",""
"No Tour","Tursuz",""
"Tour Total","Tur Toplamı",""
"Debug by Status","Statüye Göre Hata Ayıklama",""
"Recalculate (preview)","Yeniden Hesapla (önizleme)",""
"Validate / Dry Run","Doğrula / Test Çalıştır",""
"Validating Excel file...","Excel dosyası doğrulanıyor...",""
"Dry Run Complete","Test Çalıştırma Tamamlandı",""
"Start Import","İçe Aktarımı Başlat",""
"This will create or update Umreci and Umre Booking records. Continue?","Bu işlem Umreci ve Umre Booking kayıtlarını oluşturacak veya güncelleyecek. Devam edilsin mi?",""
"Queueing import...","İçe aktarım kuyruğa alınıyor...",""
"Import Queued","İçe Aktarım Kuyruğa Alındı",""
"Background job queued: {0}","Arka plan işi kuyruğa alındı: {0}",""
"Total Rows","Toplam Satır",""
"Created Umreci","Oluşturulan Umreci",""
"Updated Umreci","Güncellenen Umreci",""
"Created Bookings","Oluşturulan Rezervasyonlar",""
"Updated Bookings","Güncellenen Rezervasyonlar",""
"Row Errors","Satır Hataları",""
"Company","Şirket",""
"Customer","Müşteri",""
"Payments","Ödemeler",""
"Posting Date","İşlem Tarihi",""
"Amount","Tutar",""
"Mode of Payment","Ödeme Türü",""
"Reference No","Referans No",""
"Reference Date","Referans Tarihi",""
"Remarks","Açıklamalar",""
"External Reference","Harici Referans",""
"Idempotency Key","Tekrarsız İşlem Anahtarı",""
"Posting Status","Muhasebe Durumu",""
"Payment Entry","Ödeme Kaydı",""
"Journal Entry","Yevmiye Kaydı",""
"Not permitted to preview booking calculations","Rezervasyon hesaplama önizlemesi için yetkiniz yok",""
